,@publicID,preferredOriginID,author,region,originID,orig_time,mag,lat,lon,z,lat_e,lon_e,z_e,min_dis,phasecount,stationcount,mag_e,t_e
0,texnet2022rbzj,Origin/20230312001208.338979.54744,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001208.338979.54744,2022-09-01 00:04:13.926338+00:00,0.8969077236,31.6189785,-104.2743454,5.0,6.583286285,3.744959116,fixed,0.1375733912,9.0,5.0,0.5367837839,0.520256874
1,texnet2022rbzh,Origin/20230312001208.347317.54796,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001208.347317.54796,2022-09-01 00:01:35.352259+00:00,1.344824152,31.57168198,-104.3656158,2.979661942,3.469477892,4.09158802,3.864622116,0.1015300602,14.0,9.0,0.4277791815,0.7025274279
2,texnet2022rbzk,Origin/20230312001208.409453.55171,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001208.409453.55171,2022-09-01 00:05:22.995624+00:00,1.25256571,31.60704041,-104.2757721,4.090286732,1.859308958,1.279781103,1.562253594,0.06505875289,27.0,15.0,0.2235285904,0.2306033025
3,texnet2022rbzn,Origin/20230312001208.473874.55560,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001208.473874.55560,2022-09-01 00:08:43.749216+00:00,0.4293802305,31.6270752,-104.1970062,22.45477295,4.563192844,3.220880508,6.350270271,0.07297902554,11.0,6.0,0.2589115314,0.6053197526
4,texnet2022rbzo,Origin/20230312001208.483468.55670,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001208.483468.55670,2022-09-01 00:10:00.593907+00:00,0.3425909692,31.71352577,-104.325386,9.773794174,3.537629604,2.117509842,6.72851181,0.06635618955,7.0,4.0,0.561870789,0.623786765
5,texnet2022rbzq,Origin/20230312001213.038055.65154,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001213.038055.65154,2022-09-01 00:11:32.922560+00:00,1.053642145,31.67937279,-104.3991013,4.480241299,2.004270077,1.545255303,1.91018343,0.03636843711,15.0,8.0,0.2835729147,0.1884414684
6,texnet2022rbzr,Origin/20230312001213.259729.65614,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001213.259729.65614,2022-09-01 00:13:19.385664+00:00,0.4324864366,31.65976334,-104.3532639,7.480212688,5.067996025,1.883361936,6.073981762,0.06726334244,8.0,4.0,0.3411219637,0.5796948514
7,texnet2022rbzu,Origin/20230312001215.633696.70181,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001215.633696.70181,2022-09-01 00:15:55.779934+00:00,1.137136788,31.78829575,-104.5960007,5.0,3.442914963,6.061778545,fixed,0.07786933333,10.0,7.0,0.5748428932,1.271108037
8,texnet2022rcad,Origin/20230312001222.256027.88586,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001222.256027.88586,2022-09-01 00:27:10.560958+00:00,1.023755305,31.51483345,-104.17173,5.396092415,5.457874298,2.409529209,6.021136284,0.1024758443,13.0,7.0,0.3111985228,0.6368912727
9,texnet2022rcag,Origin/20230312001227.394817.98723,scevent@BEGW-YC-A55389.beg.utexas.edu,Western Texas,Origin/20230312001227.394817.98723,2022-09-01 00:30:05.429120+00:00,0.5187994961,31.67565155,-104.3014297,3.701479435,2.70601511,1.447591186,2.094781637,0.03140280768,13.0,6.0,0.4194176808,0.6378400489
