Network Code,Station Code,Longitude (WGS84),Latitude (WGS84),Affiliation,Archive,Location Description,Place,Elevation,Start Date,End Date
US,AMTX,-101.6808,34.8837,United States National Seismic Network,TXHUB,,Amarillo,1010,2002-09-28,
US,CBKS,-99.7374,38.814,United States National Seismic Network,TXHUB,,Cedar Bluff,677,1994-09-11,
US,JCT,-99.8022,30.4794,United States National Seismic Network,TXHUB,,Junction,591,2000-02-02,
US,KVTX,-97.8929,27.5459,United States National Seismic Network,TXHUB,,Kingsville,14.6,2006-06-15,
US,MIAR,-93.5765,34.5454,United States National Seismic Network,TXHUB,,Mount Ida,207,1992-09-22,
US,MNTX,-105.3821,31.6985,United States National Seismic Network,TXHUB,,Cornudas Mountains,404.8,2003-05-28,
US,NATX,-94.661,31.7598,United States National Seismic Network,TXHUB,,Nacogdoches,168,2004-05-11,
US,WMOK,-98.7807,34.7379,United States National Seismic Network,TXHUB,,Wichita Mountains,486,1992-11-11,
MX,BCIG,-105.412656,27.544763,SSN,TXHUB,,LA BOQUILLA,1265,2013-11-10,
MX,CCIG,-92.136917,16.281885,Mexican National Seismic Network,TXHUB,,Comitan,1625,1999-12-31,
MX,CGIG,-107.977352,30.365044,SSN,TXHUB,,CASAS GRANDES,1524,2006-12-06,
MX,HPIG,-105.664017,26.936794,SSN,TXHUB,,HIDALGO DEL PARRAL,1786,2006-12-19,
MX,LNIG,-99.465617,24.898167,SSN,TXHUB,,LINARES,329,2006-01-18,
MX,LVIG,-96.4185,19.72622,SSN,TXHUB,,LAGUNA VERDE,57,1996-04-09,
MX,MCIG,-101.483627,27.977093,SSN,TXHUB,,MUZQUIZ,483,2015-02-08,
MX,MNIG,-100.29,26.61,SSN,TXHUB,,Monterrey,674,2015-12-31,
MX,MYIG,-89.639614,20.948069,SSN,TXHUB,,MERIDA,13,2010-04-11,
MX,NZIG,-109.554158,30.373054,SSN,TXHUB,,NACOZARI,1546,2010-11-05,
MX,SCIG,-91.186588,18.967037,SSN,TXHUB,,SABANCUY,18,2001-09-30,
MX,TLIG,-98.566467,17.562675,Mexican National Seismic Network,TXHUB,,Tlapa,1136,2008-12-31,
MX,ZAIG,-102.567001,22.769199,Mexican National Seismic Network,TXHUB,,Zacatecas,2408,1996-12-31,
PI,SP00,-106.919,34.074,PASSCAL Pier Test Data,TXHUB,,Socorro,1430,2006-03-26,
SC,CL7,-103.8084,32.413,New Mexico Tech Seismic Network (),,,WIPP Site,1034,2019-12-20,
SC,CPRX,-103.867302,33.0308,New Mexico Tech Seismic Network (),,,Cap Rock,1361,2022-03-19,
SC,DAG,-104.691704,32.591,New Mexico Tech Seismic Network (),,,Dagger Draw,1280,2022-03-19,
SC,GDL2,-104.363701,32.200802,New Mexico Tech Seismic Network (),,,Guadalupe Mountains,1211,2022-03-19,
SC,JAL,-103.22932,32.20241,New Mexico Tech Seismic Network (),,,Jal,1020,2019-12-19,
SC,PDB,-103.59662,32.0722,New Mexico Tech Seismic Network (),,,Paduca Breaks,1025,2019-12-19,
SC,Y22A,-106.965202,33.937,New Mexico Tech Seismic Network (),,,Socorro,1674,2010-02-03,
IU,ANMO,-106.457199,34.945911,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Albuquerque,1820,2008-06-30,
IU,HKT,-95.838402,29.9618,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Hockley,-413,2011-09-26,
IU,TEIG,-88.276299,20.226299,Global Seismograph Network (GSN - IRIS/USGS),TXHUB,,Tepich,40,2014-10-29,
EP,KIDD,-106.506376,31.771774,UTEP Seismic Network,TXHUB,,KIDD Seismic Observatory,1162.5,2009-10-07,
TX,237B,-95.808403,32.001499,Texas Seismological Network,TXHUB,,Washetta,116,2018-12-19,
TX,435B,-97.585,30.7827,Texas Seismological Network,TXHUB,,Jarrell,248,2018-11-30,
TX,833A,-99.3939,28.3236,Texas Seismological Network,TXHUB,,Chaparral WMA,171,2019-01-24,
TX,ALPN,-103.63852,30.37448,Unavailable,TXHUB,,"Alpine, TX",1368,2017-02-03,
TX,APMT,-100.12155,33.32512,Unavailable,TXHUB,,"Aspermont,TX",501,2016-12-16,
TX,BRDY,-98.999447,31.285872,Unavailable,TXHUB,,"Brady, TX",460,2017-02-15,
TX,CRHG,-94.22517,32.28884,Unavailable,TXHUB,,"Carthage,TX",95,2021-06-15,
TX,DG01,-103.271077,31.377576,University of Texas,TexNet,,"Pecos,TX",787,2019-11-20,
TX,DG02,-103.54313,31.40151,University of Texas,TexNet,,"Pecos, TX",804,2020-05-22,
TX,DG03,-103.48416,31.38856,University of Texas,TexNet,,"Pecos, TX",830,2020-03-06,
TX,DG04,-103.41261,31.28734,University of Texas,TexNet,,"Pecos, TX",795,2020-06-02,
TX,DG05,-103.493279,31.17007,University of Texas,TexNet,,"Pecos, TX",837,2020-06-02,
TX,DG06,-103.4845,31.4124,University of Texas,TexNet,,"Pecos, TX",785,2020-06-03,
TX,DG07,-103.52788,31.452888,University of Texas,TexNet,,"Pecos, TX",794,2020-06-03,
TX,DG08,-103.7242,31.19053,University of Texas,TexNet,,"Pecos, TX",895,2020-06-04,
TX,DG09,-103.51277,31.37222,University of Texas,TexNet,,"Pecos, TX",795,2020-06-04,
TX,DKNS,-100.92365,33.66653,Unavailable,TXHUB,,"Dickens, TX",843,2016-12-16,
TX,DRIO,-100.61888,29.42311,Unavailable,TXHUB,,"Bracketville, TX",354,2017-03-16,
TX,DRZT,-100.29688,36.44401,Unavailable,TXHUB,,"Perryton, TX",791,2017-08-09,
TX,FLRS,-98.38039,29.12809,Unavailable,TXHUB,,"Floresville, TX",173,2019-09-08,
TX,EF02,-98.5311,28.7755,,,,"Christine, TX",97.6,2019-01-24,
TX,EF03,-97.98036,28.94704,Unavailable,TXHUB,,"Hobson, TX",96,2018-06-08,
TX,EF04,-97.78986,29.21003,Unavailable,TXHUB,,"Nixon, TX",116,2017-12-19,
